Labels,TimeSlice,EventId,param0,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12
0,5381987,2,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0
0,5381987,2,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0
0,5381987,2,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0
0,5381990,2,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0
0,5381990,2,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0
0,5381990,2,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0
0,5381990,0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0
0,5381990,1,7.0,8.0,9.0,10.0,11.0,0,0,0,0,0,0,0,0
0,5381992,2,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0
0,5381992,2,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0
0,5381992,2,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,13.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,15.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,13.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,16.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,13.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,2.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,13.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,2.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,13.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,13,12.0,2.0,14.0,0,0,0,0,0,0,0,0,0,0
0,5381994,0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,0
0,5381994,1,7.0,8.0,9.0,10.0,11.0,0,0,0,0,0,0,0,0
0,5381996,2,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0
